S.No;Name (click to view profile);Date;Likes;Comment;(view source)
1;=HYPERLINK("http://www.youtube.com/@hasimlamadlauw4407","@hasimlamadlauw4407");"2026-03-08T14:39:09Z";1;"Roland juga cuma menipu  !. Dari awal jg saya gk tertarik dgn videonya karena saya sdh duga bhw orang dgn karakter ngomong berlebihan itu rata2 penipu.";=HYPERLINK("https://www.youtube.com/watch?v=fjDhHsKu6fQ&lc=UgxqJZxPESNIv8hm3v54AaABAg","view source")
2;=HYPERLINK("http://www.youtube.com/@isuzzai","@isuzzai");"2026-02-27T03:08:44Z";1;"Serok bang, sekrang gue nungguin konten serok di februari 2026 ga update dia";=HYPERLINK("https://www.youtube.com/watch?v=fjDhHsKu6fQ&lc=Ugx5hQ0LFC3TKOiTXVd4AaABAg","view source")
3;=HYPERLINK("http://www.youtube.com/@prince060290","@prince060290");"2026-02-26T01:08:15Z";0;"Tapi memang kenyataannya orang miskin itu kebanyakan goblok+tolol sih. Tapi bukan soal main bitcoin. Tapi soal bikin anak sih. Sudah tau ga mampu, ga punya uang. Bukannya kb, tapi malah bikin anak. Padahal ada yg namanya kondom juga. Tapi tetap bikin anak. Dan anak orang miskin itu PASTI minimal 4. Apa coba motivasinya??? Sudah miskin, bikin anak 4 lagi. Orang kaya aja, punya anak 1 aja sudah ga mau punya anak lagi. Orang miskin juga ga punya tanggung jawab. Soalnya kalo mereka punya tanggung jawab, minimal ke diri mereka sendiri, mereka bakal dari muda rajin belajar, rajin bekerja sambil sekolah. Saya sudah melihat banyak contoh orang miskin bisa sukses, termasuk teman2 saya. Contoh populernya aja jack ma.";=HYPERLINK("https://www.youtube.com/watch?v=fjDhHsKu6fQ&lc=UgxpQzc-EnXjIDcaLul4AaABAg","view source")
4;=HYPERLINK("http://www.youtube.com/@anonymouz5315","@anonymouz5315");"2026-02-18T15:29:14Z";0;"Saya salah satu murid yang memang satu sekolah sama dia, lebih tepatnya adik kelassnya. Saya memang gak pernah secara langsung interaksi tapi memang kadang lewat.   Anak-anak tahun lulusan 2018, termasuk timothy memang kebanyakan anak2nya kurang baik, dan memiliki arogan tinggi.    Dan saya kadang lihat dia suka bentak guru, becandain orang-orang yang kurang mampu (ngebully siswa yang kurang mampu), dan sangat arogan. Makannya saya biasanya saya klo lihat dia sangat jaga jarak agar gak pernah interaksi.";=HYPERLINK("https://www.youtube.com/watch?v=fjDhHsKu6fQ&lc=UgxFV3m29qNttJ5NoQh4AaABAg","view source")
5;=HYPERLINK("http://www.youtube.com/@rickoxavi618","@rickoxavi618");"2026-02-13T12:13:59Z";0;"Untuk konteks Indonesia rata-rata kemiskinan akibat sistem, kemiskinan struktural karena Indonesia negara berkembang beda sama negara-negara Skandinavia yang sudah maju dan stabil, kalau di negara-negara tersebut masih ada yang miskin itu baru dibilang malas. Di Indonesia Khusus nya di desa-desa semua orang rata-rata semangat bekerja udah ke ladang di subuh dan pulang sore hari namun karena sistem atau kebijakan pemerintah yang kurang ditambah dengan jumlah penduduk yang begitu besar membuat yang rajin pun bisa kana tetap miskin. Jadi ini masalah kompleks bukan semata2 karena malas, egois dan arogan, emangnya orang kaya ngak ada yang arogan? Timothy Ronald tu buat statemen kayak gitu hanya mau cari sensasi biar booming dan semua pada mau ikutan kelas yang udah banyak orang rugi";=HYPERLINK("https://www.youtube.com/watch?v=fjDhHsKu6fQ&lc=Ugx5rGClz-_yWIueDjd4AaABAg","view source")
6;=HYPERLINK("http://www.youtube.com/@lessinaa","@lessinaa");"2026-02-10T12:24:59Z";1;"waduh terjebak di lingkaran setan ini mahh😢";=HYPERLINK("https://www.youtube.com/watch?v=fjDhHsKu6fQ&lc=UgyfkOWgCX5V2Vgs7f54AaABAg","view source")
7;=HYPERLINK("http://www.youtube.com/@TonyMedian","@TonyMedian");"2026-02-06T04:30:54Z";1;"Senjata paling mematikan adalah nafsu dan mulut manusia bukan bom atom atau nuklir.";=HYPERLINK("https://www.youtube.com/watch?v=fjDhHsKu6fQ&lc=Ugww7BaAp03YNrstYSt4AaABAg","view source")
8;=HYPERLINK("http://www.youtube.com/@hi%E1%BA%BFuxu%C3%A2n1963","@hiếuxuân1963");"2026-02-04T05:03:44Z";0;"Main pelan-pelan lebih nikmat 🍩🍧A͎R͎W͎A͎N͎A͎G͎A͎M͎I͎N͎G͎ ♪ ♬";=HYPERLINK("https://www.youtube.com/watch?v=fjDhHsKu6fQ&lc=UgyAx7AOtr8MhR3HLuF4AaABAg","view source")
9;=HYPERLINK("http://www.youtube.com/@Nguy%E1%BB%87tQu%C3%A1chHuy-8105","@NguyệtQuáchHuy-8105");"2026-02-04T05:01:31Z";0;"Cocok buat hiburan harian 🍩🍧A͎R͎W͎A͎N͎A͎G͎A͎M͎I͎N͎G͎ ♪ ♬";=HYPERLINK("https://www.youtube.com/watch?v=fjDhHsKu6fQ&lc=Ugx1AIv2YXAictjKKQN4AaABAg","view source")
10;=HYPERLINK("http://www.youtube.com/@MakmurSentosa-k9s","@MakmurSentosa-k9s");"2026-02-03T09:40:58Z";0;"Bitcoin, crypto kebanyakan rungkat nya, untung 1jt rugi 1M, yg di up 1jtnya, 1Mnya cuma menangis, yg tertawa bandar";=HYPERLINK("https://www.youtube.com/watch?v=fjDhHsKu6fQ&lc=UgyWSXw8laK3Y-txwK94AaABAg","view source")
