S.No;Name (click to view profile);Date;Likes;Comment;(view source)
1;=HYPERLINK("http://www.youtube.com/@MAYISEE","@MAYISEE");"2023-09-30T12:03:20Z";2119;"1 kata buat kalian para pecandu judi : THOLOLLLLLLLLLLLLLL";=HYPERLINK("https://www.youtube.com/watch?v=iuTX8TIGO8g&lc=UgyqELkac53rJ5wCUvR4AaABAg","view source")
2;=HYPERLINK("http://www.youtube.com/@gilang7930","@gilang7930");"2023-09-30T12:05:14Z";95;"Loh ibu ibu yg di kantor gmn bang";=HYPERLINK("https://www.youtube.com/watch?v=iuTX8TIGO8g&lc=UgyqELkac53rJ5wCUvR4AaABAg.9vHgCHmZf2d9vHgQEXllCU","view source")
3;=HYPERLINK("http://www.youtube.com/@muhammadfadhil8133","@muhammadfadhil8133");"2023-09-30T12:06:32Z";29;"Pagi pagi beli chip ganggu bejir";=HYPERLINK("https://www.youtube.com/watch?v=iuTX8TIGO8g&lc=UgyqELkac53rJ5wCUvR4AaABAg.9vHgCHmZf2d9vHgZk-GA3I","view source")
4;=HYPERLINK("http://www.youtube.com/@Plus6duaa","@Plus6duaa");"2023-09-30T12:07:38Z";16;"Beg*😅";=HYPERLINK("https://www.youtube.com/watch?v=iuTX8TIGO8g&lc=UgyqELkac53rJ5wCUvR4AaABAg.9vHgCHmZf2d9vHggrNcI3N","view source")
5;=HYPERLINK("http://www.youtube.com/@ServeTheServent","@ServeTheServent");"2023-09-30T12:30:46Z";0;"Kok gue punya temen segoblok itu";=HYPERLINK("https://www.youtube.com/watch?v=iuTX8TIGO8g&lc=UgyqELkac53rJ5wCUvR4AaABAg.9vHgCHmZf2d9vHjLCwlo8e","view source")
6;=HYPERLINK("http://www.youtube.com/@Tokusatsu_indonesia2024","@Tokusatsu_indonesia2024");"2023-09-30T12:50:43Z";11;"zeus be like: ayo sinih sama om gadis gadis";=HYPERLINK("https://www.youtube.com/watch?v=iuTX8TIGO8g&lc=UgyqELkac53rJ5wCUvR4AaABAg.9vHgCHmZf2d9vHlcLuHVG0","view source")
7;=HYPERLINK("http://www.youtube.com/@masyanto6424","@masyanto6424");"2023-09-30T12:52:40Z";2;"Lebih ke judi online slot bang :V";=HYPERLINK("https://www.youtube.com/watch?v=iuTX8TIGO8g&lc=UgyqELkac53rJ5wCUvR4AaABAg.9vHgCHmZf2d9vHlqdJefB0","view source")
8;=HYPERLINK("http://www.youtube.com/@fauziramadhan9958","@fauziramadhan9958");"2023-09-30T12:56:53Z";0;"Kan emang tolol yang kecanduan mah";=HYPERLINK("https://www.youtube.com/watch?v=iuTX8TIGO8g&lc=UgyqELkac53rJ5wCUvR4AaABAg.9vHgCHmZf2d9vHmKTppXGf","view source")
9;=HYPERLINK("http://www.youtube.com/@rifqimuhammad8776","@rifqimuhammad8776");"2023-09-30T13:04:13Z";2;"Wkwkwk";=HYPERLINK("https://www.youtube.com/watch?v=iuTX8TIGO8g&lc=UgyqELkac53rJ5wCUvR4AaABAg.9vHgCHmZf2d9vHnAFRpFQV","view source")
10;=HYPERLINK("http://www.youtube.com/@zainudincakra6971","@zainudincakra6971");"2023-09-30T13:20:23Z";2;"padahal lu juga tukang depo kan.....ngaku aja😂.....tau aja aku lu pernah keceplosan";=HYPERLINK("https://www.youtube.com/watch?v=iuTX8TIGO8g&lc=UgyqELkac53rJ5wCUvR4AaABAg.9vHgCHmZf2d9vHp0iDDnk8","view source")
