S.No;Name (click to view profile);Date;Likes;Comment;(view source)
1;=HYPERLINK("http://www.youtube.com/@MAYISEE","@MAYISEE");"2024-12-15T14:03:58Z";547;"Jadi, kalau dari data pengeluaran barusan, berapa penghasilan ponco dalam sebulan???";=HYPERLINK("https://www.youtube.com/watch?v=CwE97cyEaF4&lc=Ugx5Cf7oRPp4zK7lCTN4AaABAg","view source")
2;=HYPERLINK("http://www.youtube.com/@bayangan-64","@bayangan-64");"2024-12-15T14:06:48Z";28;"11 juta kayanya bang";=HYPERLINK("https://www.youtube.com/watch?v=CwE97cyEaF4&lc=Ugx5Cf7oRPp4zK7lCTN4AaABAg.AC40MgKGh-OAC40gSLsQcn","view source")
3;=HYPERLINK("http://www.youtube.com/@hendikrisdianto643","@hendikrisdianto643");"2024-12-15T14:28:59Z";280;"ponco sebulan 30jt, 22jt sisanya buat nyawer vtuber";=HYPERLINK("https://www.youtube.com/watch?v=CwE97cyEaF4&lc=Ugx5Cf7oRPp4zK7lCTN4AaABAg.AC40MgKGh-OAC43DwlOKfa","view source")
4;=HYPERLINK("http://www.youtube.com/@arisgianto2503","@arisgianto2503");"2024-12-15T14:31:23Z";8;"Bang kalo upload jangan lama lama";=HYPERLINK("https://www.youtube.com/watch?v=CwE97cyEaF4&lc=Ugx5Cf7oRPp4zK7lCTN4AaABAg.AC40MgKGh-OAC43VUu195S","view source")
5;=HYPERLINK("http://www.youtube.com/@BedakBayi-x1u","@BedakBayi-x1u");"2024-12-15T16:45:23Z";11;"Bg faiz btw alfi kmna bg?";=HYPERLINK("https://www.youtube.com/watch?v=CwE97cyEaF4&lc=Ugx5Cf7oRPp4zK7lCTN4AaABAg.AC40MgKGh-OAC4IptHoKw9","view source")
6;=HYPERLINK("http://www.youtube.com/@BedakBayi-x1u","@BedakBayi-x1u");"2024-12-15T16:45:48Z";6;"Aq udh nonton my i see sejak jaman konten pubg";=HYPERLINK("https://www.youtube.com/watch?v=CwE97cyEaF4&lc=Ugx5Cf7oRPp4zK7lCTN4AaABAg.AC40MgKGh-OAC4IsyVSoYH","view source")
7;=HYPERLINK("http://www.youtube.com/@sikancil3053","@sikancil3053");"2024-12-15T18:23:59Z";3;"Paling 8 jt/bulan 😂😂";=HYPERLINK("https://www.youtube.com/watch?v=CwE97cyEaF4&lc=Ugx5Cf7oRPp4zK7lCTN4AaABAg.AC40MgKGh-OAC4U76KO-c0","view source")
8;=HYPERLINK("http://www.youtube.com/@anasd2253","@anasd2253");"2024-12-16T03:52:35Z";6;"Yg jelas diatas gw bang 🗿";=HYPERLINK("https://www.youtube.com/watch?v=CwE97cyEaF4&lc=Ugx5Cf7oRPp4zK7lCTN4AaABAg.AC40MgKGh-OAC5VBfdbwA6","view source")
9;=HYPERLINK("http://www.youtube.com/@drf6789","@drf6789");"2024-12-16T12:51:48Z";4;"Berapa Pendapatan Kalian Dalam Satu bulan? 😂😂😂";=HYPERLINK("https://www.youtube.com/watch?v=CwE97cyEaF4&lc=Ugx5Cf7oRPp4zK7lCTN4AaABAg.AC40MgKGh-OAC6StxGv2e6","view source")
10;=HYPERLINK("http://www.youtube.com/@ahmadsatiri417","@ahmadsatiri417");"2024-12-16T16:55:55Z";1;"@anasd2253info loker bang hehee";=HYPERLINK("https://www.youtube.com/watch?v=CwE97cyEaF4&lc=Ugx5Cf7oRPp4zK7lCTN4AaABAg.AC40MgKGh-OAC6tpzAWO_l","view source")
11;=HYPERLINK("http://www.youtube.com/@teptepteppp","@teptepteppp");"2024-12-16T16:57:24Z";17;"ponco sebulan keknya sampe 69jt, pengeluaran 7jt sisanya sawer mr ironi😹";=HYPERLINK("https://www.youtube.com/watch?v=CwE97cyEaF4&lc=Ugx5Cf7oRPp4zK7lCTN4AaABAg.AC40MgKGh-OAC6u-mu8vNh","view source")
12;=HYPERLINK("http://www.youtube.com/@drf6789","@drf6789");"2024-12-17T07:42:32Z";2;"@teptepteppp owalah cik...... Ternyata bawaan mas Amba juga 😹😹😹";=HYPERLINK("https://www.youtube.com/watch?v=CwE97cyEaF4&lc=Ugx5Cf7oRPp4zK7lCTN4AaABAg.AC40MgKGh-OAC8UIhmWDt5","view source")
