S.No;Name (click to view profile);Date;Likes;Comment;(view source)
1;=HYPERLINK("http://www.youtube.com/@Gerradwijaya08","@Gerradwijaya08");"2026-03-20T12:53:21Z";280;"Hari minggu gass GTA GANGSTER  Tiktok klipklep : www.tiktok.com/@klipklepofficial top up diamond cuma di : https://www.gamingpedia.id/id pake code unik buat dapetin diskon ""GERRARD""";=HYPERLINK("https://www.youtube.com/watch?v=J4Hqo5unTmo&lc=UgyJ1mIR833qA4czQeF4AaABAg","view source")
2;=HYPERLINK("http://www.youtube.com/@mrihsan3785","@mrihsan3785");"2026-03-20T12:54:54Z";6;"GASSS GTA";=HYPERLINK("https://www.youtube.com/watch?v=J4Hqo5unTmo&lc=UgyJ1mIR833qA4czQeF4AaABAg.AU_Lwy5gKnyAU_M7KK2DOl","view source")
3;=HYPERLINK("http://www.youtube.com/@BolaManiaTV","@BolaManiaTV");"2026-03-20T12:55:11Z";4;"Link dana kaget";=HYPERLINK("https://www.youtube.com/watch?v=J4Hqo5unTmo&lc=UgyJ1mIR833qA4czQeF4AaABAg.AU_Lwy5gKnyAU_M9PEz1Cw","view source")
4;=HYPERLINK("http://www.youtube.com/@andreaslie381","@andreaslie381");"2026-03-20T12:57:23Z";2;"Gas bng";=HYPERLINK("https://www.youtube.com/watch?v=J4Hqo5unTmo&lc=UgyJ1mIR833qA4czQeF4AaABAg.AU_Lwy5gKnyAU_MPYdOWV-","view source")
5;=HYPERLINK("http://www.youtube.com/@YantiSiti-x3r","@YantiSiti-x3r");"2026-03-20T12:59:18Z";1;"Bang coba combo Marsel Sama Franco Ama Jonshon bang";=HYPERLINK("https://www.youtube.com/watch?v=J4Hqo5unTmo&lc=UgyJ1mIR833qA4czQeF4AaABAg.AU_Lwy5gKnyAU_McVDNgNq","view source")
6;=HYPERLINK("http://www.youtube.com/@patriayuda9798","@patriayuda9798");"2026-03-20T13:24:16Z";1;"Sumpah moment terakhir bikin ngakak banget 🤣🤣";=HYPERLINK("https://www.youtube.com/watch?v=J4Hqo5unTmo&lc=UgyJ1mIR833qA4czQeF4AaABAg.AU_Lwy5gKnyAU_PUPMRN3l","view source")
7;=HYPERLINK("http://www.youtube.com/@dowiikyeh3719","@dowiikyeh3719");"2026-03-20T13:46:06Z";2;"Maaf ga punya tiktok.";=HYPERLINK("https://www.youtube.com/watch?v=J4Hqo5unTmo&lc=UgyJ1mIR833qA4czQeF4AaABAg.AU_Lwy5gKnyAU_RzH4wepf","view source")
8;=HYPERLINK("http://www.youtube.com/@RJS385","@RJS385");"2026-03-20T13:50:05Z";1;"Ok bang";=HYPERLINK("https://www.youtube.com/watch?v=J4Hqo5unTmo&lc=UgyJ1mIR833qA4czQeF4AaABAg.AU_Lwy5gKnyAU_SRX3-eEt","view source")
9;=HYPERLINK("http://www.youtube.com/@UploadWhileOnToilet","@UploadWhileOnToilet");"2026-03-20T13:53:36Z";0;"Main GTA lagi ndra";=HYPERLINK("https://www.youtube.com/watch?v=J4Hqo5unTmo&lc=UgyJ1mIR833qA4czQeF4AaABAg.AU_Lwy5gKnyAU_SqF0DCET","view source")
10;=HYPERLINK("http://www.youtube.com/@Nandeww","@Nandeww");"2026-03-20T14:00:19Z";0;"GASSS";=HYPERLINK("https://www.youtube.com/watch?v=J4Hqo5unTmo&lc=UgyJ1mIR833qA4czQeF4AaABAg.AU_Lwy5gKnyAU_TbOEBGsc","view source")
11;=HYPERLINK("http://www.youtube.com/@MiredRed-j3q","@MiredRed-j3q");"2026-03-20T14:13:15Z";0;"Mobile legend lagi bang indra 😂😂🙏";=HYPERLINK("https://www.youtube.com/watch?v=J4Hqo5unTmo&lc=UgyJ1mIR833qA4czQeF4AaABAg.AU_Lwy5gKnyAU_V57YXYYu","view source")
12;=HYPERLINK("http://www.youtube.com/@CICAK-ONLY","@CICAK-ONLY");"2026-03-20T14:24:03Z";0;"ok bang gta yang seru bang gta nya";=HYPERLINK("https://www.youtube.com/watch?v=J4Hqo5unTmo&lc=UgyJ1mIR833qA4czQeF4AaABAg.AU_Lwy5gKnyAU_WKFnIhQ7","view source")
13;=HYPERLINK("http://www.youtube.com/@Vhisnu67","@Vhisnu67");"2026-03-20T14:33:51Z";0;"gasss";=HYPERLINK("https://www.youtube.com/watch?v=J4Hqo5unTmo&lc=UgyJ1mIR833qA4czQeF4AaABAg.AU_Lwy5gKnyAU_XS4SY1hW","view source")
14;=HYPERLINK("http://www.youtube.com/@rizkygendats2545","@rizkygendats2545");"2026-03-20T14:38:51Z";0;"di tunggu bang GTA NYAA";=HYPERLINK("https://www.youtube.com/watch?v=J4Hqo5unTmo&lc=UgyJ1mIR833qA4czQeF4AaABAg.AU_Lwy5gKnyAU_Y0iLSIpV","view source")
15;=HYPERLINK("http://www.youtube.com/@NarutoFishing","@NarutoFishing");"2026-03-20T14:41:49Z";0;"Lok meta ciki bang";=HYPERLINK("https://www.youtube.com/watch?v=J4Hqo5unTmo&lc=UgyJ1mIR833qA4czQeF4AaABAg.AU_Lwy5gKnyAU_YMNcsMO6","view source")
16;=HYPERLINK("http://www.youtube.com/@radenprayoga-dh6pn","@radenprayoga-dh6pn");"2026-03-20T14:48:24Z";0;"Nah di tunggu2 yang gta😂";=HYPERLINK("https://www.youtube.com/watch?v=J4Hqo5unTmo&lc=UgyJ1mIR833qA4czQeF4AaABAg.AU_Lwy5gKnyAU_Z6fYIumk","view source")
17;=HYPERLINK("http://www.youtube.com/@celepot6545","@celepot6545");"2026-03-20T14:54:31Z";0;"Mantap bang gerrad aku lebih suka konten2 GTA 5,jadi REKRUT anggota gengster lagi dong di GTA 5";=HYPERLINK("https://www.youtube.com/watch?v=J4Hqo5unTmo&lc=UgyJ1mIR833qA4czQeF4AaABAg.AU_Lwy5gKnyAU_ZoT5JfXK","view source")
18;=HYPERLINK("http://www.youtube.com/@gwsiapa4543","@gwsiapa4543");"2026-03-20T14:55:44Z";6;"THR bang 🗿🗿";=HYPERLINK("https://www.youtube.com/watch?v=J4Hqo5unTmo&lc=UgyJ1mIR833qA4czQeF4AaABAg.AU_Lwy5gKnyAU_ZxNltYlN","view source")
19;=HYPERLINK("http://www.youtube.com/@NurRofik-sq7ee","@NurRofik-sq7ee");"2026-03-20T15:14:23Z";0;"sayangnya udah di cliper bayak orang sebelum konten asli muncul";=HYPERLINK("https://www.youtube.com/watch?v=J4Hqo5unTmo&lc=UgyJ1mIR833qA4czQeF4AaABAg.AU_Lwy5gKnyAU_b4rUoytm","view source")
20;=HYPERLINK("http://www.youtube.com/@muhammadwiki8015","@muhammadwiki8015");"2026-03-20T15:33:13Z";0;"knp gak sekalian pakai baju tentara Israel kan berasa rudal dari Iran wkwkwk 😂😂😂";=HYPERLINK("https://www.youtube.com/watch?v=J4Hqo5unTmo&lc=UgyJ1mIR833qA4czQeF4AaABAg.AU_Lwy5gKnyAU_dEnL9rln","view source")
21;=HYPERLINK("http://www.youtube.com/@taqdir01","@taqdir01");"2026-03-20T16:22:23Z";0;"Ditunggu gta nya";=HYPERLINK("https://www.youtube.com/watch?v=J4Hqo5unTmo&lc=UgyJ1mIR833qA4czQeF4AaABAg.AU_Lwy5gKnyAU_irzKOhUe","view source")
22;=HYPERLINK("http://www.youtube.com/@wawanwello1827","@wawanwello1827");"2026-03-20T16:32:47Z";0;"Gimana sih, padahal GTA  paling seru";=HYPERLINK("https://www.youtube.com/watch?v=J4Hqo5unTmo&lc=UgyJ1mIR833qA4czQeF4AaABAg.AU_Lwy5gKnyAU_k38-Tbzk","view source")
23;=HYPERLINK("http://www.youtube.com/@wawanwello1827","@wawanwello1827");"2026-03-20T16:38:20Z";0;"kenapa sih harus mabar sama pascol terus, padahal sebelum Mabar lawan pascol udah seru, Kenapa jadi Mabar sama Pascol terus, padahal lebih seru sama temen dulu.";=HYPERLINK("https://www.youtube.com/watch?v=J4Hqo5unTmo&lc=UgyJ1mIR833qA4czQeF4AaABAg.AU_Lwy5gKnyAU_kgkp3ugY","view source")
