S.No;Name (click to view profile);Date;Likes;Comment;(view source)
1;=HYPERLINK("http://www.youtube.com/@MAYISEE","@MAYISEE");"2025-04-20T11:34:57Z";1046;"Sekalinya upload.. komennya dispam judol. Emang monyeeettt!!!! 🥲🥲";=HYPERLINK("https://www.youtube.com/watch?v=lkjFQKjQDEA&lc=UgwcB55_kfdB7jOuFmV4AaABAg","view source")
2;=HYPERLINK("http://www.youtube.com/@muhammaddzulfiqaramanulloh4578","@muhammaddzulfiqaramanulloh4578");"2025-04-20T11:40:51Z";0;"Awokwowkwowk";=HYPERLINK("https://www.youtube.com/watch?v=lkjFQKjQDEA&lc=UgwcB55_kfdB7jOuFmV4AaABAg.AH8BTTM9H5oAH8C8e98UVG","view source")
3;=HYPERLINK("http://www.youtube.com/@mta1707","@mta1707");"2025-04-20T11:42:17Z";13;"Sampah emang bang 😂";=HYPERLINK("https://www.youtube.com/watch?v=lkjFQKjQDEA&lc=UgwcB55_kfdB7jOuFmV4AaABAg.AH8BTTM9H5oAH8CJA01ajN","view source")
4;=HYPERLINK("http://www.youtube.com/@Livyka7","@Livyka7");"2025-04-20T11:56:19Z";10;"Wkwkwk";=HYPERLINK("https://www.youtube.com/watch?v=lkjFQKjQDEA&lc=UgwcB55_kfdB7jOuFmV4AaABAg.AH8BTTM9H5oAH8DuzWWLBm","view source")
5;=HYPERLINK("http://www.youtube.com/@Rvp99_","@Rvp99_");"2025-04-20T12:03:35Z";10;"Wkwkk😂 dor satu2";=HYPERLINK("https://www.youtube.com/watch?v=lkjFQKjQDEA&lc=UgwcB55_kfdB7jOuFmV4AaABAg.AH8BTTM9H5oAH8EkFYtllI","view source")
6;=HYPERLINK("http://www.youtube.com/@mayonice.s","@mayonice.s");"2025-04-20T12:04:02Z";0;"awikwok";=HYPERLINK("https://www.youtube.com/watch?v=lkjFQKjQDEA&lc=UgwcB55_kfdB7jOuFmV4AaABAg.AH8BTTM9H5oAH8EnYA11VQ","view source")
7;=HYPERLINK("http://www.youtube.com/@nekomaruryuu","@nekomaruryuu");"2025-04-20T12:11:08Z";0;"wkwkwk";=HYPERLINK("https://www.youtube.com/watch?v=lkjFQKjQDEA&lc=UgwcB55_kfdB7jOuFmV4AaABAg.AH8BTTM9H5oAH8FbYd3yzN","view source")
8;=HYPERLINK("http://www.youtube.com/@madan-h5","@madan-h5");"2025-04-20T12:28:29Z";2;"Gtw komen apa, gw kasih like aja deh 👍";=HYPERLINK("https://www.youtube.com/watch?v=lkjFQKjQDEA&lc=UgwcB55_kfdB7jOuFmV4AaABAg.AH8BTTM9H5oAH8Had7fh2C","view source")
9;=HYPERLINK("http://www.youtube.com/@krembichannel8142","@krembichannel8142");"2025-04-20T12:47:12Z";4;"Semangat upload bg yang spam Judol anak hama emg";=HYPERLINK("https://www.youtube.com/watch?v=lkjFQKjQDEA&lc=UgwcB55_kfdB7jOuFmV4AaABAg.AH8BTTM9H5oAH8JjiEi5G9","view source")
10;=HYPERLINK("http://www.youtube.com/@bgrdavaaja","@bgrdavaaja");"2025-04-20T13:02:36Z";0;"Wkwkw emng harus di basmi";=HYPERLINK("https://www.youtube.com/watch?v=lkjFQKjQDEA&lc=UgwcB55_kfdB7jOuFmV4AaABAg.AH8BTTM9H5oAH8LVSoglkG","view source")
11;=HYPERLINK("http://www.youtube.com/@nicciwii","@nicciwii");"2025-04-20T13:04:31Z";2;"kita juga males bang, dimana2 lagi. EMANG HAMA";=HYPERLINK("https://www.youtube.com/watch?v=lkjFQKjQDEA&lc=UgwcB55_kfdB7jOuFmV4AaABAg.AH8BTTM9H5oAH8LiR-KM2a","view source")
12;=HYPERLINK("http://www.youtube.com/@memeForLIFEE","@memeForLIFEE");"2025-04-20T13:28:55Z";0;"MAKANYAA RAJIN APLOT NYETT";=HYPERLINK("https://www.youtube.com/watch?v=lkjFQKjQDEA&lc=UgwcB55_kfdB7jOuFmV4AaABAg.AH8BTTM9H5oAH8OWBGHyxB","view source")
