S.No;Name (click to view profile);Date;Likes;Comment;(view source)
1;=HYPERLINK("http://www.youtube.com/@YadiAja-e7c9y","@YadiAja-e7c9y");"2026-03-20T21:20:02Z";0;"bangsat brisik gua tdr";=HYPERLINK("https://www.youtube.com/watch?v=rpmzfBA1ygk&lc=Ugz8uO8iPqjvfLp8POR4AaABAg","view source")
2;=HYPERLINK("http://www.youtube.com/@newbinbinclipper","@newbinbinclipper");"2026-03-18T10:56:34Z";0;"Genuine tip for this comment section: Blockify blocks all the 'get rich with AI' spam ads site-wide.";=HYPERLINK("https://www.youtube.com/watch?v=rpmzfBA1ygk&lc=Ugx71Lcfp-gBnMy2obR4AaABAg","view source")
3;=HYPERLINK("http://www.youtube.com/@unique_0-y2d","@unique_0-y2d");"2026-03-11T14:16:04Z";0;"izin di clip yah bang🙏🏻🙏🏻";=HYPERLINK("https://www.youtube.com/watch?v=rpmzfBA1ygk&lc=UgyW2qq8EaCMne6FrIB4AaABAg","view source")
4;=HYPERLINK("http://www.youtube.com/@MuhammadRizkyA-b1z","@MuhammadRizkyA-b1z");"2026-02-24T06:25:34Z";0;"Poke";=HYPERLINK("https://www.youtube.com/watch?v=rpmzfBA1ygk&lc=Ugy2d2O6ZSL308Qtgcd4AaABAg","view source")
5;=HYPERLINK("http://www.youtube.com/@ScatterLucky","@ScatterLucky");"2026-02-12T01:35:47Z";0;"Onic Satya > Onic Skylar";=HYPERLINK("https://www.youtube.com/watch?v=rpmzfBA1ygk&lc=UgwOxumpY-4ykoi9EyJ4AaABAg","view source")
6;=HYPERLINK("http://www.youtube.com/@AljubirAljibir","@AljubirAljibir");"2026-01-19T10:35:10Z";0;"Clay banyak bacot";=HYPERLINK("https://www.youtube.com/watch?v=rpmzfBA1ygk&lc=UgzDTvG1_AE_q2vUVPN4AaABAg","view source")
7;=HYPERLINK("http://www.youtube.com/@dikamaulanaaaaaaaaa","@dikamaulanaaaaaaaaa");"2026-01-03T08:39:46Z";0;"Laki ko cuma bisa mm😂";=HYPERLINK("https://www.youtube.com/watch?v=rpmzfBA1ygk&lc=UgwlkQBRsiq4wDLTWcp4AaABAg","view source")
8;=HYPERLINK("http://www.youtube.com/@campur_sari26","@campur_sari26");"2025-12-19T10:06:41Z";0;"bukanya onic";=HYPERLINK("https://www.youtube.com/watch?v=rpmzfBA1ygk&lc=UgydHUnYxyyerKRnGNF4AaABAg","view source")
9;=HYPERLINK("http://www.youtube.com/@Syaa-v6r","@Syaa-v6r");"2025-12-28T01:09:18Z";1;"Onic pala mu";=HYPERLINK("https://www.youtube.com/watch?v=rpmzfBA1ygk&lc=UgydHUnYxyyerKRnGNF4AaABAg.AQujXeERJMDARFxBdGkH4R","view source")
10;=HYPERLINK("http://www.youtube.com/@joyadaTamba","@joyadaTamba");"2025-12-19T08:00:41Z";0;"jago bet";=HYPERLINK("https://www.youtube.com/watch?v=rpmzfBA1ygk&lc=UgxhCIB3EMdwTXFLhet4AaABAg","view source")
