S.No;Name (click to view profile);Date;Likes;Comment;(view source)
1;=HYPERLINK("http://www.youtube.com/@Raventha","@Raventha");"2026-03-23T08:05:28Z";0;"jadi selama ini yg suka neror influenser lain itu dari tni juga dong ?";=HYPERLINK("https://www.youtube.com/watch?v=aP3WsMzEHVY&lc=UgyMYI5WkhDbJzrN3jt4AaABAg","view source")
2;=HYPERLINK("http://www.youtube.com/@MDP98","@MDP98");"2026-03-23T08:04:52Z";0;"harus ada revolusi indonesia";=HYPERLINK("https://www.youtube.com/watch?v=aP3WsMzEHVY&lc=UgzGdMmL8Ri-4cSyIjZ4AaABAg","view source")
3;=HYPERLINK("http://www.youtube.com/@ndramx","@ndramx");"2026-03-23T07:44:00Z";0;"Gw yakin beberapa tahun depan Indonesia bakal sepi sih gak ada Indonesia lagi, karena ya udah pindah semua orangnya sadar kalo pemerintah kita bobrok liat dah anak muda sekarang gak pengen kerja di indo karena gak adil bro semua di bungkam., apa yang terjadi selanjutnya? Ya gak ada dana masuk karena manusia di indo udah pindah la mau apa pemerintah.😂 perlahan ini udah kejadian anjay gak sadar";=HYPERLINK("https://www.youtube.com/watch?v=aP3WsMzEHVY&lc=Ugy_eeVKbNmOTNohQ0J4AaABAg","view source")
4;=HYPERLINK("http://www.youtube.com/@nanndooj","@nanndooj");"2026-03-23T07:14:47Z";0;"Bang kok masih idup";=HYPERLINK("https://www.youtube.com/watch?v=aP3WsMzEHVY&lc=UgxmCWCHfAe8pqnLIQh4AaABAg","view source")
5;=HYPERLINK("http://www.youtube.com/@GOWNNNNNN","@GOWNNNNNN");"2026-03-23T05:24:29Z";1;"SAHKAN UU PERAMPASAN ASSET DAN HUKUMAN MATI UNTUK KORUPTOR DAN KELUARGA KORUPTOR YANG MENIKMATI ALIRAN DANA KORUPSI ( ANAK ISTRI KELUARGA)";=HYPERLINK("https://www.youtube.com/watch?v=aP3WsMzEHVY&lc=UgwXcXcQbpPT3bS97Hd4AaABAg","view source")
6;=HYPERLINK("http://www.youtube.com/@robiqwaskitho3812","@robiqwaskitho3812");"2026-03-23T04:45:50Z";0;"Jadi ingat ""IKUT RUSUH, BUKAN PERUSUH.""";=HYPERLINK("https://www.youtube.com/watch?v=aP3WsMzEHVY&lc=UgxpvHeA376GFtPmTXR4AaABAg","view source")
7;=HYPERLINK("http://www.youtube.com/@bayutangguhkumoro9585","@bayutangguhkumoro9585");"2026-03-23T03:30:15Z";0;"Itu kmarin kayakna yg siram ibarat kayak mau kasih SP 1. Ngeri nya bsk bsk bisa di kill";=HYPERLINK("https://www.youtube.com/watch?v=aP3WsMzEHVY&lc=Ugz8kvy5riMCmE3h8nB4AaABAg","view source")
8;=HYPERLINK("http://www.youtube.com/@torafuru6838","@torafuru6838");"2026-03-23T02:59:05Z";0;"Pernah denger seseorang ngomong punya intel dan aktifis/yg kritik bakalan di disiplinkan. Apakah berkaitan?";=HYPERLINK("https://www.youtube.com/watch?v=aP3WsMzEHVY&lc=UgwiyKcgmGMQ0LPnksZ4AaABAg","view source")
9;=HYPERLINK("http://www.youtube.com/@Jonbell755","@Jonbell755");"2026-03-23T01:20:54Z";0;"Org bodoh akan mnjadi santapan org pintar! Sbg rakyat, qta semua hrsnya bnr2 paham pd makna kalimat bijak itu! 🙏";=HYPERLINK("https://www.youtube.com/watch?v=aP3WsMzEHVY&lc=UgxSsGsOCiEwryaZqZN4AaABAg","view source")
10;=HYPERLINK("http://www.youtube.com/@arkcumayoung_gg","@arkcumayoung_gg");"2026-03-23T00:33:55Z";0;"Minimal itu yah pemimpin instansi mikir, mereka ud mencoreng nama instansi";=HYPERLINK("https://www.youtube.com/watch?v=aP3WsMzEHVY&lc=UgzZzHwVLSil8x8EuaJ4AaABAg","view source")
11;=HYPERLINK("http://www.youtube.com/@ariprasetio8721","@ariprasetio8721");"2026-03-23T00:28:56Z";0;"Bang kalau ngomong bibir nya emng bgtu? Atau biar dibilang keren ya?  Oia mending pake spasi Bang kalau ngomong jgn cepet"" gtu, biar jelas yg mendengarkan";=HYPERLINK("https://www.youtube.com/watch?v=aP3WsMzEHVY&lc=UgxpdwxaDrmYV4PksNR4AaABAg","view source")
12;=HYPERLINK("http://www.youtube.com/@khalidaryant6791","@khalidaryant6791");"2026-03-23T00:04:38Z";0;"Hm... Sepertinya ini untuk menimbulkan perpecahan bang.... Karena jujur g ada keuntungan sama sekali untuk TNI ataupun pemerintah bang ...";=HYPERLINK("https://www.youtube.com/watch?v=aP3WsMzEHVY&lc=Ugx9FXK1U7AHcPk6rkp4AaABAg","view source")
