Comment,comment_cleaned,label
"Hari minggu gass GTA GANGSTER  Tiktok klipklep : www.tiktok.com/@klipklepofficial top up diamond cuma di : https://www.gamingpedia.id/id pake code unik buat dapetin diskon ""GERRARD""",hari minggu gass gta gangster tiktok klipklep www tiktok com aklipklepofficial top up diamond cuma di https www gamingpedia id id pake code unik buat dapetin diskon gerrard,0
GASSS GTA,gasss gta,0
Link dana kaget,link dana kaget,0
Gas bng,gas bng,0
Bang coba combo Marsel Sama Franco Ama Jonshon bang,bang coba combo marsel sama franco ama jonshon bang,0
Sumpah moment terakhir bikin ngakak banget 🤣🤣,sumpah moment terakhir bikin ngakak banget,0
Maaf ga punya tiktok.,maaf ga punya tiktok,0
Ok bang,ok bang,0
Main GTA lagi ndra,main gta lagi ndra,0
GASSS,gasss,0
Mobile legend lagi bang indra 😂😂🙏,mobile legend lagi bang indra,0
ok bang gta yang seru bang gta nya,ok bang gta yang seru bang gta nya,0
gasss,gasss,0
di tunggu bang GTA NYAA,di tunggu bang gta nyaa,0
Lok meta ciki bang,lok meta ciki bang,0
Nah di tunggu2 yang gta😂,nah di tunggu2 yang gta,0
"Mantap bang gerrad aku lebih suka konten2 GTA 5,jadi REKRUT anggota gengster lagi dong di GTA 5",mantap bang gerrad aku lebih suka konten2 gta 5 jadi rekrut anggota gengster lagi dong di gta 5,0
THR bang 🗿🗿,thr bang,0
sayangnya udah di cliper bayak orang sebelum konten asli muncul,sayangnya udah di cliper bayak orang sebelum konten asli muncul,0
knp gak sekalian pakai baju tentara Israel kan berasa rudal dari Iran wkwkwk 😂😂😂,knp gak sekalian pakai baju tentara israel kan berasa rudal dari iran wkwkwk,0
Ditunggu gta nya,ditunggu gta nya,0
"Gimana sih, padahal GTA  paling seru",gimana sih padahal gta paling seru,0
"kenapa sih harus mabar sama pascol terus, padahal sebelum Mabar lawan pascol udah seru, Kenapa jadi Mabar sama Pascol terus, padahal lebih seru sama temen dulu.",kenapa sih harus mabar sama pascol terus padahal sebelum mabar lawan pascol udah seru kenapa jadi mabar sama pascol terus padahal lebih seru sama temen dulu,0
kon tak tunggu gta malah yg up ml gendeng,kon tak tunggu gta malah yg up ml gendeng,0
ngenteni GTA seminggu malah seng di upload ml,ngenteni gta seminggu malah seng di upload ml,0
THE BG,the bg,0
Gas gta,gas gta,0
"NDRA,NDRA,nunggu upload kmu sampai lebaran",ndra ndra nunggu upload kmu sampai lebaran,0
Rudal rudal balistik 😂😂😂,rudal rudal balistik,0
Bang buat combo Marcel Jhonson pranko tarik Ampe base atau combo Ama luoyi,bang buat combo marcel jhonson pranko tarik ampe base atau combo ama luoyi,0
Sumpaah ngakak gua bang...,sumpaah ngakak gua bang,0
bg combo marcel chang e grangger lolita tigreal bang auto diem tuh musuh enak bgt sumph,bg combo marcel chang e grangger lolita tigreal bang auto diem tuh musuh enak bgt sumph,0
Combo ana marcel tuh biar nambah ngeselin,combo ana marcel tuh biar nambah ngeselin,0
Kode promo nya kok gk bisa bg,kode promo nya kok gk bisa bg,0
Bang Kenapa Gak Pake Hero Marcel Karena kan Marcel ulti langsung spam skill dan flameshot,bang kenapa gak pake hero marcel karena kan marcel ulti langsung spam skill dan flameshot,0
Ok bg minggu aku tunggu 🗿,ok bg minggu aku tunggu,0
Lebih suka prank pascol bro,lebih suka prank pascol bro,0
Bg cobain kombo barast marcel,bg cobain kombo barast marcel,0
Knpa bisa d duluin ma orng bang upload'y,knpa bisa d duluin ma orng bang upload y,0
Bang coba nanti lock sampai 30 mati nya pasti seru,bang coba nanti lock sampai 3o mati nya pasti seru,0
Wkwkwk bisanya masukin teko mateng ampir kirain masak aer... 😅😅😅,wkwkwk bisanya masukin teko mateng ampir kirain masak aer,0
Semakin pascol menderita saya semakin senang,semakin pascol menderita saya semakin senang,0
Yaelah bang bang jgn bangga menang lwn darksistem heran dah. Bangga tu menang lwn pro player,yaelah bang bang jgn bangga menang lwn darksistem heran dah bangga tu menang lwn pro player,0
Bang coba maen FF ..pasukan lu sama pasukan pascol😂😂pasti lucu,bang coba maen ff pasukan lu sama pasukan pascolpasti lucu,0
Bang kenapa kok jarang upload,bang kenapa kok jarang upload,0
Gass ni,gass ni,0
Iki wes dino Minggu ndii videone,iki wes dino minggu ndii videone,0
sorry bang pascol itu kepala nya memantulkan cahaya,sorry bang pascol itu kepala nya memantulkan cahaya,0
"Bang reg lok pascol pakek meta fto , di brondong ulti",bang reg lok pascol pakek meta fto di brondong ulti,0
Next konten lock pascol pake combo hero baru bg,next konten lock pascol pake combo hero baru bg,0
Yang ditunggu GTA SIII,yang ditunggu gta siii,0
Udah minggu blum up,udah minggu blum up,0
"bg cobain combo, Jonson marsel sama franco bgg, jadi semelom marsel ulti lu tarik dulu bg nahh kann ke setun tuhh sama ulti nya marsel nahh abis itu lu naek Jonson",bg cobain combo jonson marsel sama franco bgg jadi semelom marsel ulti lu tarik dulu bg nahh kann ke setun tuhh sama ulti nya marsel nahh abis itu lu naek jonson,0
Pascol Ajak Maen Gta Kang😂😂,pascol ajak maen gta kang,0
hoax mlu kimak,hoax mlu kimak,0
lihat konten kepalanya jadi teringat HELM KONTOL ANYING😂,lihat konten kepalanya jadi teringat helm kontol anying,0
Tau aja theme perang Iran isriwil,tau aja theme perang iran isriwil,0
D real marksman 1 vs 5,d real marksman 1 vs 5,0
"Yg lain perang pake sniper, bazooka si Pascol pake panah😂",yg lain perang pake sniper bazooka si pascol pake panah,0
"Maen 30mnt cmn buat ngelock pascol doang, terus menang 😂😂😂",maen 3omnt cmn buat ngelock pascol doang terus menang,0
😂😂😂😂😂,,0
6.21 nyadar ga yang ird omped,6 21 nyadar ga yang ird omped,0
Ngakak seru banget 😂😂,ngakak seru banget,0
"req kerjain pascol pake hero marcel bg, jadi marcel ulti pascol trs yg lain flameshot",req kerjain pascol pake hero marcel bg jadi marcel ulti pascol trs yg lain flameshot,0
GG lu bang😂😂😂,gg lu bang,0
4:02,4 o2,0
EDIT NYA GAK USAH BEGINI PLISS LEBIH SUKA YANG DLU,edit nya gak usah begini pliss lebih suka yang dlu,0
mana video gengster nya,mana video gengster nya,0
😂😂😂,,0
"Bg ,coba kalo lu kerjain pascol di ml langsung depan dia gimana reaksi nya ekwkw😂😂😂",bg coba kalo lu kerjain pascol di ml langsung depan dia gimana reaksi nya ekwkw,0
😂😂😂😂botak koyakkk,botak koyakkk,0
Bg coba bg gerrad vs pascol abg sama temen abg combo pake marcel temen abg pake marcel klo abg pake change atau granger di jamin pascol langsung kena mental,bg coba bg gerrad vs pascol abg sama temen abg combo pake marcel temen abg pake marcel klo abg pake change atau granger di jamin pascol langsung kena mental,0
Buset 7 - 0 wkwkw,buset 7 o wkwkw,0
pascol tua doang dikelecein bocah mulu,pascol tua doang dikelecein bocah mulu,0
Seneng banget liat pascol marah😂😂,seneng banget liat pascol marah,0
Dia GK bisa pakai Hero lain apa gmna si? Dr dulu Miya Mulu yg di pakai,dia gk bisa pakai hero lain apa gmna si dr dulu miya mulu yg di pakai,0
bang pascol terbaik🤣🤣🤣,bang pascol terbaik,0
😂😂aynk acol,aynk acol,0
Rudal balistik 😆😂😂,rudal balistik,0
Pembantaian paling satisfying  sejauh ini,pembantaian paling satisfying sejauh ini,0
Aneh jir yg nonton dah tau settingan,aneh jir yg nonton dah tau settingan,0
