Comment,comment_cleaned,label
Roland juga cuma menipu  !. Dari awal jg saya gk tertarik dgn videonya karena saya sdh duga bhw orang dgn karakter ngomong berlebihan itu rata2 penipu.,roland juga cuma menipu i dari awal jg saya gk tertarik dgn videonya karena saya sdh duga bhw orang dgn karakter ngomong berlebihan itu rata2 penipu,0
"Serok bang, sekrang gue nungguin konten serok di februari 2026 ga update dia",serok bang sekrang gue nungguin konten serok di februari 2o26 ga update dia,0
"Tapi memang kenyataannya orang miskin itu kebanyakan goblok+tolol sih. Tapi bukan soal main bitcoin. Tapi soal bikin anak sih. Sudah tau ga mampu, ga punya uang. Bukannya kb, tapi malah bikin anak. Padahal ada yg namanya kondom juga. Tapi tetap bikin anak. Dan anak orang miskin itu PASTI minimal 4. Apa coba motivasinya??? Sudah miskin, bikin anak 4 lagi. Orang kaya aja, punya anak 1 aja sudah ga mau punya anak lagi. Orang miskin juga ga punya tanggung jawab. Soalnya kalo mereka punya tanggung jawab, minimal ke diri mereka sendiri, mereka bakal dari muda rajin belajar, rajin bekerja sambil sekolah. Saya sudah melihat banyak contoh orang miskin bisa sukses, termasuk teman2 saya. Contoh populernya aja jack ma.",tapi memang kenyataannya orang miskin itu kebanyakan goblok tolol sih tapi bukan soal main bitcoin tapi soal bikin anak sih sudah tau ga mampu ga punya uang bukannya kb tapi malah bikin anak padahal ada yg namanya kondom juga tapi tetap bikin anak dan anak orang miskin itu pasti minimal 4 apa coba motivasinya sudah miskin bikin anak 4 lagi orang kaya aja punya anak 1 aja sudah ga mau punya anak lagi orang miskin juga ga punya tanggung jawab soalnya kalo mereka punya tanggung jawab minimal ke diri mereka sendiri mereka bakal dari muda rajin belajar rajin bekerja sambil sekolah saya sudah melihat banyak contoh orang miskin bisa sukses termasuk teman2 saya contoh populernya aja jack ma,0
"Saya salah satu murid yang memang satu sekolah sama dia, lebih tepatnya adik kelassnya. Saya memang gak pernah secara langsung interaksi tapi memang kadang lewat.   Anak-anak tahun lulusan 2018, termasuk timothy memang kebanyakan anak2nya kurang baik, dan memiliki arogan tinggi.    Dan saya kadang lihat dia suka bentak guru, becandain orang-orang yang kurang mampu (ngebully siswa yang kurang mampu), dan sangat arogan. Makannya saya biasanya saya klo lihat dia sangat jaga jarak agar gak pernah interaksi.",saya salah satu murid yang memang satu sekolah sama dia lebih tepatnya adik kelassnya saya memang gak pernah secara langsung interaksi tapi memang kadang lewat anak anak tahun lulusan 2o18 termasuk timothy memang kebanyakan anak2nya kurang baik dan memiliki arogan tinggi dan saya kadang lihat dia suka bentak guru becandain orang orang yang kurang mampu ngebully siswa yang kurang mampu dan sangat arogan makannya saya biasanya saya klo lihat dia sangat jaga jarak agar gak pernah interaksi,0
"Untuk konteks Indonesia rata-rata kemiskinan akibat sistem, kemiskinan struktural karena Indonesia negara berkembang beda sama negara-negara Skandinavia yang sudah maju dan stabil, kalau di negara-negara tersebut masih ada yang miskin itu baru dibilang malas. Di Indonesia Khusus nya di desa-desa semua orang rata-rata semangat bekerja udah ke ladang di subuh dan pulang sore hari namun karena sistem atau kebijakan pemerintah yang kurang ditambah dengan jumlah penduduk yang begitu besar membuat yang rajin pun bisa kana tetap miskin. Jadi ini masalah kompleks bukan semata2 karena malas, egois dan arogan, emangnya orang kaya ngak ada yang arogan? Timothy Ronald tu buat statemen kayak gitu hanya mau cari sensasi biar booming dan semua pada mau ikutan kelas yang udah banyak orang rugi",untuk konteks indonesia rata rata kemiskinan akibat sistem kemiskinan struktural karena indonesia negara berkembang beda sama negara negara skandinavia yang sudah maju dan stabil kalau di negara negara tersebut masih ada yang miskin itu baru dibilang malas di indonesia khusus nya di desa desa semua orang rata rata semangat bekerja udah ke ladang di subuh dan pulang sore hari namun karena sistem atau kebijakan pemerintah yang kurang ditambah dengan jumlah penduduk yang begitu besar membuat yang rajin pun bisa kana tetap miskin jadi ini masalah kompleks bukan semata2 karena malas egois dan arogan emangnya orang kaya ngak ada yang arogan timothy ronald tu buat statemen kayak gitu hanya mau cari sensasi biar booming dan semua pada mau ikutan kelas yang udah banyak orang rugi,0
waduh terjebak di lingkaran setan ini mahh😢,waduh terjebak di lingkaran setan ini mahh,0
Senjata paling mematikan adalah nafsu dan mulut manusia bukan bom atom atau nuklir.,senjata paling mematikan adalah nafsu dan mulut manusia bukan bom atom atau nuklir,0
Main pelan-pelan lebih nikmat 🍩🍧A͎R͎W͎A͎N͎A͎G͎A͎M͎I͎N͎G͎ ♪ ♬,main pelan pelan lebih nikmat arwanagaming,1
Cocok buat hiburan harian 🍩🍧A͎R͎W͎A͎N͎A͎G͎A͎M͎I͎N͎G͎ ♪ ♬,cocok buat hiburan harian arwanagaming,1
"Bitcoin, crypto kebanyakan rungkat nya, untung 1jt rugi 1M, yg di up 1jtnya, 1Mnya cuma menangis, yg tertawa bandar",bitcoin crypto kebanyakan rungkat nya untung 1jt rugi 1m yg di up 1jtnya 1mnya cuma menangis yg tertawa bandar,0
emng plerr tuh si timoti,emng plerr tuh si timoti,0
(Ketika lu disuruh paham sama orang yg belum pernah ngalami),ketika lu disuruh paham sama orang yg belum pernah ngalami,0
Timoti bocil cripto sang pencuci uang,timoti bocil cripto sang pencuci uang,0
1:27 kamu yg di atas ya 😂,1 27 kamu yg di atas ya,0
Singapura cuman lumpurr isi nya sekarang bisa kaya raya.. Kenapa? Karena pemimpin nya orang pintar.. Lee kuan yew adalah sarjana hukum lulusan terbaik dari Universitas terbaik di inggris.. Istrinya bahkan lebih pintar lagi... Tolong jangan alergi sama orang pintar kalau lagi milih pemimpin,singapura cuman lumpurr isi nya sekarang bisa kaya raya kenapa karena pemimpin nya orang pintar lee kuan yew adalah sarjana hukum lulusan terbaik dari universitas terbaik di inggris istrinya bahkan lebih pintar lagi tolong jangan alergi sama orang pintar kalau lagi milih pemimpin,0
