Comment,comment_cleaned,label
bangsat brisik gua tdr,bangsat brisik gua tdr,0
Genuine tip for this comment section: Blockify blocks all the 'get rich with AI' spam ads site-wide.,genuine tip for this comment section blockify blocks all the get rich with ai spam ads site wide,0
izin di clip yah bang🙏🏻🙏🏻,izin di clip yah bang,0
Poke,poke,0
Onic Satya > Onic Skylar,onic satya onic skylar,0
Clay banyak bacot,clay banyak bacot,0
Laki ko cuma bisa mm😂,laki ko cuma bisa mm,0
bukanya onic,bukanya onic,0
Onic pala mu,onic pala mu,0
jago bet,jago bet,0
bg lerrrr,bg lerrrr,0
7.7,7 7,0
yapping bgt deden,yapping bgt deden,0
so asik,so asik,0
Masi rrq apa onic,masi rrq apa onic,0
berisij bat deden bnyk call ga guna ganggu fokus tim jir,berisij bat deden bnyk call ga guna ganggu fokus tim jir,0
Aku juga bulih lawan tu top global ez sgt.            Dlm mimpi ku sj😭,aku juga bulih lawan tu top global ez sgt dlm mimpi ku sj,0
Mau OLIH sing Endi beng Ben menang di kandang sendiri 🎉🎉🎉🎉🎉🎉🎉🎉❤❤❤❤❤❤❤❤❤❤❤,mau olih sing endi beng ben menang di kandang sendiri,0
kelas bang lerr juragan ketar ketir,kelas bang lerr juragan ketar ketir,0
"Luar biasa!🔥𝙅𝙐𝙇𝙄𝙀𝙏4𝘿🔥,  Semangat bikin video sebagus ini terus !!!",luar biasaijuliet4d semangat bikin video sebagus ini terus iii,1
Gila jarak nya jauh  bgt,gila jarak nya jauh bgt,0
"nabrak OMETOTO gasss ,,di jamin cuan terusss",nabrak ometoto gasss di jamin cuan terusss,1
bang semoga  winstreak,bang semoga winstreak,0
cari yang gacor main di HERCULES898 aja,cari yang gacor main di hercules898 aja,1
Game pantek,game pantek,0
kelas ler,kelas ler,0
Wkwkkw yg bacotnya gede dibantai cm 2 kill doang. Wkwkwk,wkwkkw yg bacotnya gede dibantai cm 2 kill doang wkwkwk,0
