Comment,comment_cleaned,label
"Jadi, kalau dari data pengeluaran barusan, berapa penghasilan ponco dalam sebulan???",jadi kalau dari data pengeluaran barusan berapa penghasilan ponco dalam sebulan,0
11 juta kayanya bang,11 juta kayanya bang,0
"ponco sebulan 30jt, 22jt sisanya buat nyawer vtuber",ponco sebulan 3ojt 22jt sisanya buat nyawer vtuber,0
Bang kalo upload jangan lama lama,bang kalo upload jangan lama lama,0
Bg faiz btw alfi kmna bg?,bg faiz btw alfi kmna bg,0
Aq udh nonton my i see sejak jaman konten pubg,aq udh nonton my i see sejak jaman konten pubg,0
Paling 8 jt/bulan 😂😂,paling 8 jt bulan,0
Yg jelas diatas gw bang 🗿,yg jelas diatas gw bang,0
Berapa Pendapatan Kalian Dalam Satu bulan? 😂😂😂,berapa pendapatan kalian dalam satu bulan,0
@anasd2253info loker bang hehee,aanasd2253info loker bang hehee,0
"ponco sebulan keknya sampe 69jt, pengeluaran 7jt sisanya sawer mr ironi😹",ponco sebulan keknya sampe 69jt pengeluaran 7jt sisanya sawer mr ironi,0
@teptepteppp owalah cik...... Ternyata bawaan mas Amba juga 😹😹😹,ateptepteppp owalah cik ternyata bawaan mas amba juga,0
"Ponco penghasilan 5jt, mines bang 😂",ponco penghasilan 5jt mines bang,0
Wkwkwkk ngakak habis gaji cuman 2 juta😂😂,wkwkwkk ngakak habis gaji cuman 2 juta,0
Kurang lebih kalian per orangnya 50-60 jt per bulan berarti ya bang?,kurang lebih kalian per orangnya 5o 6o jt per bulan berarti ya bang,0
Nopal Kun gk ada,nopal kun gk ada,0
Kok judulnya penghasilan?,kok judulnya penghasilan,0
pengeluaran lu pasti 10% dari total penghasilan ya bang 😁,pengeluaran lu pasti 1o dari total penghasilan ya bang,0
"UMR saya 2.3 jt Pengeluaran sebulanaanak istri 1 1,8 juta Jogja  senjang sekaleee ya :D",umr saya 2 3 jt pengeluaran sebulanaanak istri 1 1 8 juta jogja senjang sekaleee ya d,0
"@MAYISEE 1 juta untuk makan, 2 juta untuk keluarga, 1,15 juta ruko plus wifi, 600 ribu bayar listrik, biaya tak terduga 1 juta jadi total sebulan 5,75 juta belum termasuk nabung rutin bulanan dan biaya tak terduga tahunan.. intinya berarti biaya pengeluaran saya hampir 5 jutaan setiap bulan banyak juga ya kaget saya seorang single yang makan saja kadang masih bareng keluarga.. saya umur 30an pengusaha & investor",amayisee 1 juta untuk makan 2 juta untuk keluarga 1 15 juta ruko plus wifi 6oo ribu bayar listrik biaya tak terduga 1 juta jadi total sebulan 5 75 juta belum termasuk nabung rutin bulanan dan biaya tak terduga tahunan intinya berarti biaya pengeluaran saya hampir 5 jutaan setiap bulan banyak juga ya kaget saya seorang single yang makan saja kadang masih bareng keluarga saya umur 3oan pengusaha investor,0
😊Saya cuma lulusan smk jadi buruh swasta di jabodetabek ajah gaji cuma 12-14 jt /bln tapi rataa2 tapi hidup layak 15 jt++/bulan..naik umr dan ump cuma setahun sekali,saya cuma lulusan smk jadi buruh swasta di jabodetabek ajah gaji cuma 12 14 jt bln tapi rataa2 tapi hidup layak 15 jt bulan naik umr dan ump cuma setahun sekali,0
10:36 dia paling banyak pengeluaran nya,1o 36 dia paling banyak pengeluaran nya,0
​@BedakBayi-x1u Ulfa toll,abedakbayi x1u ulfa toll,0
Gak mau kaya moend,gak mau kaya moend,0
Gak mau mati,gak mau mati,0
UMR cuman bisa nyengir nyengir 😂,umr cuman bisa nyengir nyengir,0
😂 gue males bayanginnya klo soal pengeluaran,gue males bayanginnya klo soal pengeluaran,0
Ternyata ini udh setaun lalu 😭❤️ dan masi suka diputer ulang kalo kangen may i see wkw,ternyata ini udh setaun lalu dan masi suka diputer ulang kalo kangen may i see wkw,0
halo,halo,0
"""Bukan apa yg gue mau"" tapi ""apa yg bajet mau"" 😭 12:21",bukan apa yg gue mau tapi apa yg bajet mau 12 21,0
"Gx percaya gua omongan komedian sperti mereka, wong tidur aja mereka ngelawak apa lagi sadar 🤣🤣",gx percaya gua omongan komedian sperti mereka wong tidur aja mereka ngelawak apa lagi sadar,0
baru nyadar akhir nama gua ama bang ponco sama,baru nyadar akhir nama gua ama bang ponco sama,0
jangan umbar aib sendiri,jangan umbar aib sendiri,0
Bang nitiphttps://youtube.com/@yuhannasu?si=ChPPtqMVDmuJM_gm,bang nitiphttps youtube com ayuhannasu si chpptqmvdmujm gm,0
si irul mana iz😅,si irul mana iz,0
"10:45 setuju sih gw sama faiz , gaperlu tuh spot*fy cukup yt music aja udh gasspol hehehe",1o 45 setuju sih gw sama faiz gaperlu tuh spot fy cukup yt music aja udh gasspol hehehe,0
gila pnghasilan klian mnim uda 2x dri pngluaran klian y mntab sukses smw:3,gila pnghasilan klian mnim uda 2x dri pngluaran klian y mntab sukses smw 3,0
"Kalau dilihat mereka betul betul cukup, tidak kurang dan tidak lebih dengan segala tanggungan yang dijabarkan untuk diri sendiri dan keluarga ataupun kerabat.",kalau dilihat mereka betul betul cukup tidak kurang dan tidak lebih dengan segala tanggungan yang dijabarkan untuk diri sendiri dan keluarga ataupun kerabat,0
buset ibu saya bupati penghasillan 50 ini om faiz 47 cuma content creator doang…,buset ibu saya bupati penghasillan 5o ini om faiz 47 cuma content creator doang,0
"Pajak : ASSAALLAAMMUAALLAIKUMMM,,,🎉",pajak assaallaammuaallaikummm,0
gile faiz tajir juga ye,gile faiz tajir juga ye,0
"Siapa tau ada yg mau jawab ya dari kru May 1 See, maaf ya ini pertanyaan junur dan serius. Konten kalian kan nggak begitu banyak ya, upload juga nggak terlalu sering, lantas sebenarnya penghasilan kalian darimana untuk bisa menutup pengeluaran yg sebesar itu, terutama Faiz bisa lah bagi tipsnya???",siapa tau ada yg mau jawab ya dari kru may 1 see maaf ya ini pertanyaan junur dan serius konten kalian kan nggak begitu banyak ya upload juga nggak terlalu sering lantas sebenarnya penghasilan kalian darimana untuk bisa menutup pengeluaran yg sebesar itu terutama faiz bisa lah bagi tipsnya,0
"Kalau gak Salah faiz  punya usaha,jual pisang goreng.... walaupun gua gak tahu masih aktif atau gak😅",kalau gak salah faiz punya usaha jual pisang goreng walaupun gua gak tahu masih aktif atau gak,0
Jangan ngerokok makanya,jangan ngerokok makanya,0
Perasaan dari 9 bulan lalu langganan netflix paling murah 60an ribu deh.,perasaan dari 9 bulan lalu langganan netflix paling murah 6oan ribu deh,0
"yang 50-30rb itu mereka barengan cok  ntah sama keluarga atau temen, terus langganan yang paling mahal biar bisa nonton 4k dan bisa dipake semua orang",yang 5o 3orb itu mereka barengan cok ntah sama keluarga atau temen terus langganan yang paling mahal biar bisa nonton 4k dan bisa dipake semua orang,0
Info lokernya bg,info lokernya bg,0
Penghasilan 100jt tertawanya beda yhh,penghasilan 1oojt tertawanya beda yhh,0
"7:59 Ponco keren sih, jarang-jarang cowo perawatan.",7 59 ponco keren sih jarang jarang cowo perawatan,0
"UMR 5 jt, mines berapa ini 🥲🥲🥲",umr 5 jt mines berapa ini,0
Sy sebulan 9 jutaan,sy sebulan 9 jutaan,0
Mantap bro faiz😂😂,mantap bro faiz,0
Gajiku 2 jt 1 bln nonton ini nyess anying wkwkwk,gajiku 2 jt 1 bln nonton ini nyess anying wkwkwk,0
"wahh gilaaa di umur 19 ini gua bersyukur banget sih, semuanya masih di cover ortu, tugas gua tinggal kerja yang bener/sekolah yang bener",wahh gilaaa di umur 19 ini gua bersyukur banget sih semuanya masih di cover ortu tugas gua tinggal kerja yang bener sekolah yang bener,0
halo dirjen pajak,halo dirjen pajak,0
Pesan terakhir agak nyesek cuma realitanya emang bener njir. Gua pengeluaran mirip2 ponco bener-bener mikir bakal bisa ngidupin anak orang apa engga,pesan terakhir agak nyesek cuma realitanya emang bener njir gua pengeluaran mirip2 ponco bener bener mikir bakal bisa ngidupin anak orang apa engga,0
Respect!,respecti,0
"kukira pada gembel, ternyata aku yang gembel 😔",kukira pada gembel ternyata aku yang gembel,0
asuh sedih bgt bacanyaa😢😢😢. mana sama lgi,asuh sedih bgt bacanyaa mana sama lgi,0
segitu rumah di jakarta harganya udah ga kekejar😢,segitu rumah di jakarta harganya udah ga kekejar,0
Keren guys! Salute! 🫡 👏🏿👏🏿👏🏿,keren guysi salutei,0
Itu si ponco gara2 sering peran jadi ibu atau cewek lah..  Jadi geli liat nya.. Ngefek njir hati2 lw bang.. 😅 Ya w tau itu cuman konten.. Gtw knp ini di w si.. Geli aja padhaal lg ga dandan cewek.. 😅😅😅,itu si ponco gara2 sering peran jadi ibu atau cewek lah jadi geli liat nya ngefek njir hati2 lw bang ya w tau itu cuman konten gtw knp ini di w si geli aja padhaal lg ga dandan cewek,0
"gwah fens ponco , sehat dan panjang umur  bang",gwah fens ponco sehat dan panjang umur bang,0
"Gw umur 28 , pekerjaan jualan baju di tiktok , pengeluaran 3,2 jt . alhamdulilah hemat 😂",gw umur 28 pekerjaan jualan baju di tiktok pengeluaran 3 2 jt alhamdulilah hemat,0
Mau i see sering bikin short tapi di YouTube nya ga ada dan banyak cuplikan atau clip di Chanel lain itu dari mana? Ig atau tik tok ?,mau i see sering bikin short tapi di youtube nya ga ada dan banyak cuplikan atau clip di chanel lain itu dari mana ig atau tik tok,0
"Pada belum punya rumah apa gimana?, jadi maksudnya gajinya rnggak selalu gede cuma gimmick?",pada belum punya rumah apa gimana jadi maksudnya gajinya rnggak selalu gede cuma gimmick,0
Bang fais ngepeet itu yah,bang fais ngepeet itu yah,0
"LoL kalau kayak gini ga ada yg marah ya, tapi giliran cewe bilang ""gaji minimum cowo 10 juta"" doang langsung pada ngamuk netizen.. Padahal pengeluaran yg single aja udah segini loh.. 😂",lol kalau kayak gini ga ada yg marah ya tapi giliran cewe bilang gaji minimum cowo 1o juta doang langsung pada ngamuk netizen padahal pengeluaran yg single aja udah segini loh,0
"Wajar aja, mereka emg org mampu,,jdi klo mau ngapain gampang, ya asal ada duit nya (harus hemat jg, jangan boros)lagian kan kita gtw dibalik layar nya gimana, toh gaji itu kan jg buat keluarga, wajar aja banyak ngehujat cewek yg bilang gaji minimum tsb, ditambah skrg cari pekerjaan yg gaji nya atas umr udh mulai susah, lu lihat aja dh banyak persyaratan ga jelas, dll, klo misal cewek yg bilang gtu ikut mau bantu, ya gpp, kecuali cewek yg bilang gaji minimum tetapi beban, cuman mau harta nya doang/matre, ya pantas dihujat,dan yg kek gtu banyak di indo, terutama tiktok...",wajar aja mereka emg org mampu jdi klo mau ngapain gampang ya asal ada duit nya harus hemat jg jangan boros lagian kan kita gtw dibalik layar nya gimana toh gaji itu kan jg buat keluarga wajar aja banyak ngehujat cewek yg bilang gaji minimum tsb ditambah skrg cari pekerjaan yg gaji nya atas umr udh mulai susah lu lihat aja dh banyak persyaratan ga jelas dll klo misal cewek yg bilang gtu ikut mau bantu ya gpp kecuali cewek yg bilang gaji minimum tetapi beban cuman mau harta nya doang matre ya pantas dihujat dan yg kek gtu banyak di indo terutama tiktok,0
