Comment,comment_cleaned,label
Makan wajib nonton antvb😅,makan wajib nonton antvb,0
Ampun kelakuan jokonntolllll jokonntoollll😂😂😂😂,ampun kelakuan jokonntolllll jokonntoollll,0
emang ga enak kerjaan kayak gini  wkwkwkwkkwkw kocak banget Yudi,emang ga enak kerjaan kayak gini wkwkwkwkkwkw kocak banget yudi,0
𝙆𝙞𝙠𝙮,kiky,0
mntp,mntp,0
Si joeal Keman woe,si joeal keman woe,0
Si kiteng bisa joget ya😂,si kiteng bisa joget ya,0
yg main gitar tato bunga terong coo,yg main gitar tato bunga terong coo,0
🤣🤣,,0
Omk parlai😂,omk parlai,0
Siapa di sini yang di luar nonton antb,siapa di sini yang di luar nonton antb,0
Sunge Denai ngk tuh😅,sunge denai ngk tuh,0
satpam kimax,satpam kimax,0
Ucapan si gondrong memang bawa petaka bagi si dept collector.. wkwkkww,ucapan si gondrong memang bawa petaka bagi si dept collector wkwkkww,0
asek banget kiting jangan smpe ni orang pergi cukup amri uleng aja jangan kiting juga yg ikutan pergi😂,asek banget kiting jangan smpe ni orang pergi cukup amri uleng aja jangan kiting juga yg ikutan pergi,0
gak dapatpun jalan ceritanya,gak dapatpun jalan ceritanya,0
mak kasian kali itu DC udah mukannya jelek dan seram kena hajar pula.. kerena si gondrong ini biang keroknya asal bilang maling 😂,mak kasian kali itu dc udah mukannya jelek dan seram kena hajar pula kerena si gondrong ini biang keroknya asal bilang maling,0
https://youtu.be/uzTfLz7E_6A?si=,https youtu be uztflz7e 6a si,0
Gass yang mau join di kratonbet bisa japri,gass yang mau join di kratonbet bisa japri,0
Agung lucu banget,agung lucu banget,0
banyakin adegan action nya bang am seru kali🤣🤣,banyakin adegan action nya bang am seru kali,0
ilang lagi joel ?,ilang lagi joel,0
😂😂😂😂,,0
"bg aku salah satu fans antb dari awal sampek sekarang, bole req episode horor kaya episode awal?",bg aku salah satu fans antb dari awal sampek sekarang bole req episode horor kaya episode awal,0
Terlambat ah 🤣🤣🤣🤣,terlambat ah,0
Awak nonton saambil tdur😂,awak nonton saambil tdur,0
Gondrong melihat... Tapi memilih diam.... Dan tidak bersuara... Kasihan abg2 debt collector.... Di aniaya.... Ndrong ndrong tega hatimu berdiam...,gondrong melihat tapi memilih diam dan tidak bersuara kasihan abg2 debt collector di aniaya ndrong ndrong tega hatimu berdiam,0
Gondrong bukan sembarang gondrong😂😂,gondrong bukan sembarang gondrong,0
"Aku jadi subs ANTB  dari 70 RB an sub.  Episode ini pling oke. Dr alur, crta, acting, sound .  Semoga mkin sukses ya kawan..",aku jadi subs antb dari 7o rb an sub episode ini pling oke dr alur crta acting sound semoga mkin sukses ya kawan,0
9:20 nah gini bang ilham yg kami kenal ga kalah dari siapa pun😂,9 2o nah gini bang ilham yg kami kenal ga kalah dari siapa pun,0
Mau ngumpulin orang yang ga mau kumpul 👉🏻,mau ngumpulin orang yang ga mau kumpul,0
Siapa disini yang nonton sambil berak,siapa disini yang nonton sambil berak,0
gj kntl,gj kntl,0
Yang paling enak nonton antb ini sambil boker,yang paling enak nonton antb ini sambil boker,0
Mantapp,mantapp,0
pepew ah,pepew ah,0
gokssss,gokssss,0
Kemaren dibungkus Wak Uban kau Fadli skrg Anaknya pula yg membungkus kau 😂😂😂  Nasib kaulah Fadli 🤣🤣🤣,kemaren dibungkus wak uban kau fadli skrg anaknya pula yg membungkus kau nasib kaulah fadli,0
Nonton antb ni emang enak nya lagi santai lagi makan😅 tengah malam pun enak,nonton antb ni emang enak nya lagi santai lagi makan tengah malam pun enak,0
,,0
Habis solat magrib ambil nasi nonton sambil makan mantap,habis solat magrib ambil nasi nonton sambil makan mantap,0
"😚gausah mikir panjang boskuu, main di ✌𝓦𝓘𝓕𝓘4𝓓✌ duit ngalir kaya kopi tumpah☕💰",gausah mikir panjang boskuu main di wifi4d duit ngalir kaya kopi tumpah,1
Akhir yah ketemu juga cenel yah,akhir yah ketemu juga cenel yah,0
yah cenel yah cenel itu apa yah,yah cenel yah cenel itu apa yah,0
Sumpah bikin ngakak bank aku nyampe nggak berhenti ketawa bang hp kok lari😂😂😂😂😂 dari 😂😂😂😂😂😂😂😂😂,sumpah bikin ngakak bank aku nyampe nggak berhenti ketawa bang hp kok lari dari,0
joel kmna bang,joel kmna bang,0
Maling pulak dirumah orang cacat 😂,maling pulak dirumah orang cacat,0
fadli ni ntah apa tambah sok keras aja,fadli ni ntah apa tambah sok keras aja,0
"tengok lah ketemu di jalan ku tumbuk i dia, liat la",tengok lah ketemu di jalan ku tumbuk i dia liat la,0
Bang pake cwe beneran geh bang  biar seru bang...,bang pake cwe beneran geh bang biar seru bang,0
Kribo bunang😂😂?,kribo bunang,0
Mantap,mantap,0
Akhir jabatan lanjut dong,akhir jabatan lanjut dong,0
"belakangan video nya ending nya ga masuk bang,kurang memuaskan,semoga bisa diperbaiki skenario nya,sukses buat antb",belakangan video nya ending nya ga masuk bang kurang memuaskan semoga bisa diperbaiki skenario nya sukses buat antb,0
joel kemana bang? ada masalah kah?,joel kemana bang ada masalah kah,0
Akhir jabatan kapan ni bg?,akhir jabatan kapan ni bg,0
gini la suka kali aku abay jadi Abang abangan terkuat,gini la suka kali aku abay jadi abang abangan terkuat,0
